generation; best; average; worst
160; 0.368159; 0.308209; 0.228856
161; 0.363184; 0.306219; 0.243781
162; 0.353234; 0.295771; 0.253731
163; 0.373134; 0.302736; 0.243781
164; 0.358209; 0.29602; 0.223881
165; 0.378109; 0.309453; 0.223881
166; 0.348259; 0.305473; 0.228856
167; 0.338308; 0.296269; 0.238806
168; 0.348259; 0.302239; 0.243781
169; 0.353234; 0.304726; 0.233831
170; 0.368159; 0.317164; 0.273632
171; 0.353234; 0.306219; 0.243781
172; 0.348259; 0.31194; 0.268657
173; 0.39801; 0.316169; 0.238806
174; 0.343284; 0.297015; 0.248756
175; 0.368159; 0.298259; 0.218905
176; 0.368159; 0.30398; 0.238806
177; 0.368159; 0.313433; 0.243781
178; 0.378109; 0.311194; 0.233831
179; 0.373134; 0.301244; 0.218905
180; 0.368159; 0.292289; 0.233831
181; 0.383085; 0.3; 0.238806
182; 0.338308; 0.301741; 0.253731
183; 0.358209; 0.296766; 0.258706
184; 0.383085; 0.31194; 0.248756
185; 0.358209; 0.304478; 0.243781
186; 0.348259; 0.306468; 0.248756
187; 0.353234; 0.305224; 0.248756
188; 0.363184; 0.311194; 0.253731
189; 0.38806; 0.309453; 0.228856
190; 0.373134; 0.301741; 0.238806
191; 0.358209; 0.311194; 0.248756
192; 0.363184; 0.300249; 0.248756
193; 0.328358; 0.299254; 0.253731
194; 0.40796; 0.314179; 0.248756
195; 0.353234; 0.301741; 0.238806
196; 0.38806; 0.308706; 0.248756
197; 0.343284; 0.301741; 0.253731
198; 0.353234; 0.30796; 0.238806
199; 0.378109; 0.318159; 0.253731
200; 0.378109; 0.298507; 0.228856
201; 0.348259; 0.303483; 0.263682
202; 0.378109; 0.298507; 0.258706
203; 0.363184; 0.30199; 0.258706
204; 0.348259; 0.296269; 0.258706
205; 0.348259; 0.3; 0.238806
206; 0.363184; 0.311443; 0.21393
207; 0.38806; 0.317164; 0.248756
208; 0.338308; 0.300995; 0.258706
209; 0.378109; 0.31194; 0.268657
210; 0.378109; 0.294279; 0.21393
211; 0.373134; 0.309453; 0.228856
212; 0.368159; 0.304975; 0.263682
213; 0.358209; 0.297761; 0.223881
214; 0.368159; 0.31194; 0.218905
215; 0.348259; 0.288308; 0.223881
216; 0.353234; 0.299005; 0.253731
217; 0.402985; 0.310945; 0.248756
218; 0.38806; 0.316667; 0.233831
219; 0.328358; 0.289055; 0.238806
220; 0.368159; 0.305721; 0.248756
221; 0.343284; 0.299751; 0.243781
222; 0.343284; 0.300995; 0.248756
223; 0.358209; 0.311194; 0.248756
224; 0.363184; 0.289055; 0.218905
225; 0.343284; 0.299005; 0.248756
226; 0.368159; 0.311194; 0.273632
227; 0.373134; 0.302488; 0.248756
228; 0.353234; 0.316169; 0.268657
229; 0.353234; 0.296269; 0.233831
230; 0.363184; 0.302239; 0.248756
231; 0.358209; 0.302985; 0.248756
232; 0.343284; 0.297761; 0.248756
233; 0.383085; 0.30597; 0.208955
234; 0.358209; 0.296517; 0.223881
235; 0.38806; 0.300746; 0.253731
236; 0.363184; 0.316169; 0.238806
237; 0.328358; 0.293284; 0.253731
238; 0.358209; 0.296766; 0.243781
239; 0.383085; 0.308209; 0.233831
240; 0.378109; 0.306219; 0.238806
241; 0.363184; 0.302985; 0.218905
242; 0.378109; 0.308955; 0.243781
243; 0.338308; 0.289552; 0.233831
244; 0.348259; 0.3; 0.253731
245; 0.343284; 0.297761; 0.253731
246; 0.378109; 0.294527; 0.21393
247; 0.328358; 0.299502; 0.268657
248; 0.358209; 0.311692; 0.233831
249; 0.323383; 0.290299; 0.243781
250; 0.373134; 0.307711; 0.253731
251; 0.368159; 0.31194; 0.238806
252; 0.368159; 0.303483; 0.248756
253; 0.39801; 0.308706; 0.253731
254; 0.368159; 0.292289; 0.223881
255; 0.368159; 0.308209; 0.238806
256; 0.353234; 0.30796; 0.253731
257; 0.348259; 0.293781; 0.238806
258; 0.363184; 0.303483; 0.243781
259; 0.353234; 0.30398; 0.258706
260; 0.368159; 0.3; 0.263682
261; 0.358209; 0.302985; 0.253731
262; 0.378109; 0.30995; 0.253731
263; 0.353234; 0.302488; 0.238806
264; 0.383085; 0.307214; 0.248756
265; 0.333333; 0.302488; 0.248756
266; 0.348259; 0.296269; 0.253731
267; 0.343284; 0.299751; 0.248756
268; 0.38806; 0.307214; 0.238806
269; 0.358209; 0.309701; 0.258706
270; 0.363184; 0.299751; 0.243781
271; 0.363184; 0.317413; 0.288557
272; 0.358209; 0.31194; 0.268657
273; 0.383085; 0.311194; 0.258706
274; 0.38806; 0.318905; 0.243781
275; 0.378109; 0.31393; 0.248756
276; 0.368159; 0.304975; 0.253731
277; 0.373134; 0.303234; 0.238806
278; 0.353234; 0.304478; 0.233831
279; 0.368159; 0.30398; 0.228856
280; 0.363184; 0.305721; 0.243781
281; 0.353234; 0.297512; 0.253731
282; 0.39801; 0.315174; 0.253731
283; 0.363184; 0.307711; 0.258706
284; 0.373134; 0.30796; 0.243781
285; 0.363184; 0.299502; 0.243781
286; 0.383085; 0.303731; 0.253731
287; 0.393035; 0.316667; 0.258706
288; 0.353234; 0.299005; 0.248756
289; 0.373134; 0.321144; 0.243781
290; 0.383085; 0.312687; 0.263682
291; 0.363184; 0.308706; 0.248756
292; 0.368159; 0.303234; 0.243781
293; 0.353234; 0.298756; 0.248756
294; 0.353234; 0.301493; 0.233831
295; 0.383085; 0.316667; 0.238806
296; 0.373134; 0.304975; 0.233831
297; 0.368159; 0.310945; 0.248756
298; 0.353234; 0.314677; 0.223881
299; 0.393035; 0.297512; 0.21393
300; 0.353234; 0.305473; 0.268657
301; 0.353234; 0.315423; 0.268657
302; 0.38806; 0.322637; 0.238806
303; 0.378109; 0.300498; 0.228856
304; 0.333333; 0.299502; 0.238806
305; 0.338308; 0.292786; 0.238806
306; 0.353234; 0.298756; 0.228856
307; 0.348259; 0.30597; 0.263682
308; 0.343284; 0.295522; 0.248756
309; 0.378109; 0.305224; 0.238806
310; 0.383085; 0.30199; 0.263682
311; 0.343284; 0.308209; 0.248756
312; 0.363184; 0.319154; 0.278607
313; 0.353234; 0.308458; 0.20398
314; 0.353234; 0.303483; 0.258706
315; 0.378109; 0.312687; 0.243781
316; 0.368159; 0.311692; 0.253731
317; 0.348259; 0.296766; 0.233831
318; 0.338308; 0.294527; 0.233831
319; 0.383085; 0.307214; 0.243781
