generation; best; average; worst
1; 0.368159; 0.306716; 0.238806
2; 0.373134; 0.302985; 0.228856
3; 0.348259; 0.294279; 0.228856
4; 0.393035; 0.3; 0.248756
5; 0.373134; 0.316418; 0.253731
6; 0.358209; 0.297015; 0.21393
7; 0.368159; 0.308706; 0.273632
8; 0.373134; 0.309701; 0.223881
9; 0.38806; 0.294279; 0.238806
10; 0.358209; 0.289303; 0.228856
11; 0.358209; 0.313184; 0.233831
12; 0.368159; 0.304726; 0.258706
13; 0.353234; 0.299502; 0.238806
14; 0.348259; 0.298756; 0.238806
15; 0.373134; 0.295522; 0.243781
16; 0.373134; 0.320398; 0.273632
17; 0.358209; 0.306716; 0.243781
18; 0.358209; 0.307463; 0.263682
19; 0.343284; 0.305473; 0.248756
20; 0.343284; 0.297512; 0.253731
21; 0.393035; 0.302239; 0.253731
22; 0.348259; 0.297264; 0.233831
23; 0.373134; 0.292537; 0.233831
24; 0.373134; 0.308706; 0.243781
25; 0.358209; 0.300995; 0.263682
26; 0.358209; 0.303234; 0.243781
27; 0.338308; 0.295522; 0.238806
28; 0.358209; 0.301493; 0.228856
29; 0.358209; 0.301493; 0.248756
30; 0.373134; 0.301244; 0.233831
31; 0.353234; 0.299502; 0.238806
32; 0.363184; 0.308706; 0.263682
33; 0.373134; 0.308706; 0.248756
34; 0.368159; 0.301244; 0.243781
35; 0.378109; 0.299502; 0.243781
36; 0.358209; 0.312687; 0.228856
37; 0.363184; 0.311692; 0.253731
38; 0.338308; 0.302985; 0.243781
39; 0.373134; 0.301244; 0.21393
40; 0.333333; 0.294279; 0.218905
41; 0.368159; 0.29801; 0.228856
42; 0.363184; 0.3; 0.248756
43; 0.383085; 0.305721; 0.258706
44; 0.383085; 0.308955; 0.238806
45; 0.363184; 0.303483; 0.238806
46; 0.348259; 0.301493; 0.248756
47; 0.353234; 0.306965; 0.263682
48; 0.373134; 0.29204; 0.228856
49; 0.358209; 0.308706; 0.268657
50; 0.368159; 0.310697; 0.238806
51; 0.348259; 0.291045; 0.223881
52; 0.383085; 0.311443; 0.228856
53; 0.348259; 0.296269; 0.248756
54; 0.368159; 0.297264; 0.243781
55; 0.412935; 0.295771; 0.21393
56; 0.368159; 0.303483; 0.243781
57; 0.358209; 0.297264; 0.243781
58; 0.353234; 0.301493; 0.258706
59; 0.378109; 0.303483; 0.248756
60; 0.353234; 0.296269; 0.238806
61; 0.343284; 0.297512; 0.248756
62; 0.383085; 0.307463; 0.223881
63; 0.363184; 0.303483; 0.238806
64; 0.363184; 0.301741; 0.228856
65; 0.338308; 0.292537; 0.243781
66; 0.343284; 0.301244; 0.243781
67; 0.358209; 0.302488; 0.258706
68; 0.348259; 0.31194; 0.258706
69; 0.368159; 0.306468; 0.248756
70; 0.378109; 0.301741; 0.243781
71; 0.358209; 0.294776; 0.218905
72; 0.39801; 0.317662; 0.258706
73; 0.393035; 0.30199; 0.243781
74; 0.378109; 0.302736; 0.233831
75; 0.348259; 0.298259; 0.233831
76; 0.353234; 0.292537; 0.233831
77; 0.373134; 0.296766; 0.243781
78; 0.343284; 0.30597; 0.243781
79; 0.378109; 0.28607; 0.248756
80; 0.343284; 0.294527; 0.233831
81; 0.38806; 0.31194; 0.258706
82; 0.368159; 0.311692; 0.243781
83; 0.383085; 0.30398; 0.218905
84; 0.338308; 0.297512; 0.233831
85; 0.38806; 0.313682; 0.253731
86; 0.38806; 0.307214; 0.248756
87; 0.40796; 0.303234; 0.233831
88; 0.358209; 0.305224; 0.238806
89; 0.348259; 0.305224; 0.258706
90; 0.378109; 0.295274; 0.238806
91; 0.343284; 0.297015; 0.233831
92; 0.378109; 0.298259; 0.233831
93; 0.353234; 0.29204; 0.21393
94; 0.363184; 0.313184; 0.258706
95; 0.358209; 0.3; 0.253731
96; 0.383085; 0.308458; 0.233831
97; 0.358209; 0.311443; 0.248756
98; 0.393035; 0.300746; 0.238806
99; 0.373134; 0.310199; 0.243781
100; 0.348259; 0.302488; 0.263682
101; 0.368159; 0.299751; 0.233831
102; 0.353234; 0.309701; 0.243781
103; 0.348259; 0.288806; 0.248756
104; 0.363184; 0.289801; 0.21393
105; 0.373134; 0.304229; 0.258706
106; 0.338308; 0.290299; 0.243781
107; 0.358209; 0.314428; 0.243781
108; 0.338308; 0.308955; 0.238806
109; 0.38806; 0.314179; 0.243781
110; 0.393035; 0.296517; 0.253731
111; 0.383085; 0.299005; 0.253731
112; 0.368159; 0.30796; 0.278607
113; 0.363184; 0.300249; 0.248756
114; 0.39801; 0.310945; 0.238806
115; 0.338308; 0.295522; 0.253731
116; 0.363184; 0.301244; 0.223881
117; 0.373134; 0.316418; 0.253731
118; 0.378109; 0.306468; 0.248756
119; 0.348259; 0.293284; 0.228856
120; 0.378109; 0.298507; 0.238806
121; 0.383085; 0.302239; 0.253731
122; 0.358209; 0.296517; 0.223881
123; 0.368159; 0.310697; 0.233831
124; 0.378109; 0.301741; 0.253731
125; 0.343284; 0.303234; 0.253731
126; 0.373134; 0.296517; 0.238806
127; 0.348259; 0.300249; 0.268657
128; 0.353234; 0.289303; 0.223881
129; 0.373134; 0.302985; 0.238806
130; 0.358209; 0.297761; 0.253731
131; 0.358209; 0.309453; 0.268657
132; 0.378109; 0.308458; 0.223881
133; 0.353234; 0.306716; 0.258706
134; 0.373134; 0.302736; 0.243781
135; 0.358209; 0.294527; 0.218905
136; 0.343284; 0.297761; 0.243781
137; 0.378109; 0.318657; 0.258706
138; 0.353234; 0.295274; 0.248756
139; 0.348259; 0.293284; 0.238806
