generation; best; average; worst
1; 0.368159; 0.30796; 0.248756
2; 0.353234; 0.312189; 0.263682
3; 0.38806; 0.296517; 0.238806
4; 0.358209; 0.315423; 0.263682
5; 0.358209; 0.314925; 0.263682
6; 0.348259; 0.297512; 0.248756
7; 0.378109; 0.30995; 0.248756
8; 0.358209; 0.312935; 0.278607
9; 0.363184; 0.302239; 0.253731
10; 0.368159; 0.301493; 0.238806
11; 0.378109; 0.302985; 0.253731
12; 0.358209; 0.307711; 0.258706
13; 0.338308; 0.300498; 0.233831
14; 0.353234; 0.296517; 0.253731
15; 0.378109; 0.304229; 0.258706
16; 0.383085; 0.307214; 0.223881
17; 0.358209; 0.303234; 0.258706
18; 0.348259; 0.300249; 0.228856
19; 0.353234; 0.296766; 0.21393
20; 0.348259; 0.306716; 0.243781
21; 0.348259; 0.307214; 0.253731
22; 0.368159; 0.300995; 0.253731
23; 0.373134; 0.304478; 0.243781
24; 0.353234; 0.304478; 0.248756
25; 0.383085; 0.313433; 0.243781
26; 0.373134; 0.299751; 0.228856
27; 0.358209; 0.301741; 0.258706
28; 0.378109; 0.311692; 0.253731
29; 0.348259; 0.29403; 0.238806
30; 0.363184; 0.296269; 0.20398
31; 0.378109; 0.308458; 0.243781
32; 0.348259; 0.30199; 0.223881
33; 0.328358; 0.305721; 0.268657
34; 0.338308; 0.289801; 0.21393
35; 0.378109; 0.301741; 0.218905
36; 0.353234; 0.297015; 0.253731
37; 0.378109; 0.31194; 0.253731
38; 0.328358; 0.286567; 0.238806
39; 0.383085; 0.305721; 0.243781
40; 0.363184; 0.293035; 0.238806
41; 0.373134; 0.313682; 0.263682
42; 0.368159; 0.30597; 0.258706
43; 0.323383; 0.285323; 0.218905
44; 0.383085; 0.308209; 0.253731
45; 0.358209; 0.299254; 0.248756
46; 0.348259; 0.301741; 0.243781
47; 0.348259; 0.293532; 0.208955
48; 0.358209; 0.306716; 0.238806
49; 0.328358; 0.299005; 0.238806
50; 0.358209; 0.300249; 0.248756
51; 0.338308; 0.296269; 0.238806
52; 0.363184; 0.30597; 0.228856
53; 0.373134; 0.305224; 0.253731
54; 0.378109; 0.310697; 0.263682
55; 0.358209; 0.306468; 0.263682
56; 0.38806; 0.309204; 0.258706
57; 0.378109; 0.303234; 0.238806
58; 0.363184; 0.307214; 0.243781
59; 0.39801; 0.315423; 0.258706
60; 0.358209; 0.299502; 0.18408
61; 0.363184; 0.301493; 0.238806
62; 0.38806; 0.308209; 0.218905
63; 0.378109; 0.30796; 0.233831
64; 0.343284; 0.304478; 0.263682
65; 0.368159; 0.311692; 0.238806
66; 0.343284; 0.29403; 0.243781
67; 0.353234; 0.305473; 0.263682
68; 0.368159; 0.300249; 0.218905
69; 0.353234; 0.306468; 0.273632
70; 0.368159; 0.301493; 0.248756
71; 0.412935; 0.30199; 0.218905
72; 0.358209; 0.30597; 0.263682
73; 0.393035; 0.310697; 0.243781
74; 0.38806; 0.289552; 0.208955
75; 0.338308; 0.292786; 0.21393
76; 0.358209; 0.3; 0.243781
77; 0.373134; 0.311443; 0.278607
78; 0.373134; 0.305721; 0.248756
79; 0.358209; 0.302985; 0.253731
80; 0.348259; 0.312189; 0.233831
81; 0.38806; 0.298259; 0.248756
82; 0.383085; 0.300249; 0.228856
83; 0.368159; 0.304726; 0.273632
84; 0.353234; 0.305721; 0.243781
85; 0.38806; 0.308706; 0.238806
86; 0.378109; 0.298507; 0.228856
87; 0.343284; 0.297761; 0.253731
88; 0.39801; 0.305224; 0.263682
