generation; best; average; worst
160; 0.313373; 0.262475; 0.229541
161; 0.269461; 0.238124; 0.187625
162; 0.279441; 0.245309; 0.183633
163; 0.277445; 0.256687; 0.227545
164; 0.307385; 0.230739; 0.195609
165; 0.289421; 0.241118; 0.189621
166; 0.273453; 0.241916; 0.189621
167; 0.299401; 0.250299; 0.205589
168; 0.271457; 0.247505; 0.203593
169; 0.275449; 0.251697; 0.223553
170; 0.285429; 0.249501; 0.181637
171; 0.291417; 0.257485; 0.227545
172; 0.281437; 0.254291; 0.231537
173; 0.293413; 0.247106; 0.177645
174; 0.285429; 0.254691; 0.227545
175; 0.281437; 0.245309; 0.181637
176; 0.291417; 0.25489; 0.209581
177; 0.283433; 0.240918; 0.179641
178; 0.287425; 0.257086; 0.213573
179; 0.273453; 0.253493; 0.213573
180; 0.279441; 0.250299; 0.205589
181; 0.287425; 0.255489; 0.225549
182; 0.333333; 0.258882; 0.207585
183; 0.283433; 0.244112; 0.177645
184; 0.303393; 0.256487; 0.213573
185; 0.297405; 0.256088; 0.203593
186; 0.295409; 0.265669; 0.251497
187; 0.295409; 0.263673; 0.221557
188; 0.311377; 0.256886; 0.177645
189; 0.287425; 0.251697; 0.189621
190; 0.285429; 0.243713; 0.203593
191; 0.261477; 0.244711; 0.225549
192; 0.265469; 0.248104; 0.195609
193; 0.297405; 0.247305; 0.185629
194; 0.293413; 0.26008; 0.235529
195; 0.285429; 0.264671; 0.239521
196; 0.281437; 0.251896; 0.209581
197; 0.287425; 0.258683; 0.225549
198; 0.305389; 0.266866; 0.223553
199; 0.285429; 0.25489; 0.201597
200; 0.281437; 0.26487; 0.231537
201; 0.287425; 0.257485; 0.219561
202; 0.265469; 0.250499; 0.231537
203; 0.279441; 0.255289; 0.209581
204; 0.283433; 0.25988; 0.235529
205; 0.259481; 0.242715; 0.201597
206; 0.329341; 0.256088; 0.213573
207; 0.261477; 0.243513; 0.215569
208; 0.269461; 0.238723; 0.207585
209; 0.293413; 0.245509; 0.199601
210; 0.265469; 0.246507; 0.221557
211; 0.281437; 0.248503; 0.215569
212; 0.307385; 0.262874; 0.217565
213; 0.285429; 0.246906; 0.213573
214; 0.299401; 0.247705; 0.195609
215; 0.287425; 0.257884; 0.225549
216; 0.275449; 0.243912; 0.223553
217; 0.295409; 0.270459; 0.227545
218; 0.267465; 0.241916; 0.191617
219; 0.299401; 0.250898; 0.227545
220; 0.299401; 0.267665; 0.209581
221; 0.283433; 0.235329; 0.201597
222; 0.279441; 0.252096; 0.219561
223; 0.275449; 0.246108; 0.191617
224; 0.285429; 0.243114; 0.195609
225; 0.275449; 0.229741; 0.197605
226; 0.277445; 0.244311; 0.205589
227; 0.279441; 0.253094; 0.205589
228; 0.293413; 0.267864; 0.227545
229; 0.261477; 0.245309; 0.195609
230; 0.253493; 0.236727; 0.193613
231; 0.289421; 0.235928; 0.175649
232; 0.293413; 0.251896; 0.195609
233; 0.307385; 0.263473; 0.215569
234; 0.297405; 0.258683; 0.223553
235; 0.291417; 0.242515; 0.187625
236; 0.271457; 0.231737; 0.185629
237; 0.293413; 0.250299; 0.187625
238; 0.289421; 0.232735; 0.187625
239; 0.273453; 0.236926; 0.205589
240; 0.299401; 0.253293; 0.211577
241; 0.277445; 0.247305; 0.209581
242; 0.275449; 0.244711; 0.203593
243; 0.277445; 0.260479; 0.237525
244; 0.285429; 0.238124; 0.197605
245; 0.301397; 0.266267; 0.245509
246; 0.285429; 0.262475; 0.235529
247; 0.291417; 0.245309; 0.185629
248; 0.285429; 0.243513; 0.195609
249; 0.283433; 0.253293; 0.217565
250; 0.275449; 0.258683; 0.229541
251; 0.311377; 0.269261; 0.223553
252; 0.295409; 0.251297; 0.195609
253; 0.301397; 0.25509; 0.225549
254; 0.271457; 0.237525; 0.203593
255; 0.311377; 0.274451; 0.239521
256; 0.277445; 0.243513; 0.191617
257; 0.263473; 0.238922; 0.201597
258; 0.301397; 0.251697; 0.193613
259; 0.301397; 0.26986; 0.237525
260; 0.273453; 0.247705; 0.215569
261; 0.285429; 0.247505; 0.207585
262; 0.293413; 0.258483; 0.211577
263; 0.281437; 0.25988; 0.231537
264; 0.279441; 0.257485; 0.233533
265; 0.289421; 0.256287; 0.227545
266; 0.309381; 0.249102; 0.195609
267; 0.299401; 0.253094; 0.217565
268; 0.309381; 0.268263; 0.227545
269; 0.287425; 0.24511; 0.195609
270; 0.311377; 0.247505; 0.203593
271; 0.331337; 0.252495; 0.203593
272; 0.277445; 0.247305; 0.203593
273; 0.271457; 0.239721; 0.177645
274; 0.255489; 0.22475; 0.187625
275; 0.263473; 0.220359; 0.191617
276; 0.281437; 0.245509; 0.197605
277; 0.279441; 0.249102; 0.203593
278; 0.263473; 0.243513; 0.175649
279; 0.291417; 0.241916; 0.175649
280; 0.269461; 0.238922; 0.203593
