generation; best; average; worst
1; 0.358209; 0.299751; 0.228856
2; 0.363184; 0.307711; 0.253731
3; 0.353234; 0.301244; 0.258706
4; 0.348259; 0.288806; 0.238806
5; 0.348259; 0.301741; 0.233831
6; 0.39801; 0.304229; 0.238806
7; 0.412935; 0.300995; 0.228856
8; 0.358209; 0.295522; 0.233831
9; 0.373134; 0.310697; 0.248756
10; 0.368159; 0.297512; 0.233831
11; 0.363184; 0.314428; 0.263682
12; 0.348259; 0.30199; 0.253731
13; 0.348259; 0.29204; 0.243781
14; 0.363184; 0.308458; 0.278607
15; 0.353234; 0.293035; 0.218905
16; 0.368159; 0.312189; 0.253731
17; 0.368159; 0.304975; 0.228856
18; 0.38806; 0.315672; 0.228856
19; 0.363184; 0.29602; 0.228856
20; 0.39801; 0.310199; 0.238806
21; 0.338308; 0.291542; 0.253731
22; 0.348259; 0.306468; 0.228856
23; 0.338308; 0.290547; 0.238806
24; 0.363184; 0.30597; 0.238806
25; 0.358209; 0.296766; 0.263682
26; 0.363184; 0.302985; 0.238806
27; 0.373134; 0.302239; 0.253731
28; 0.328358; 0.294527; 0.238806
29; 0.393035; 0.318657; 0.263682
30; 0.353234; 0.296517; 0.243781
31; 0.412935; 0.305721; 0.218905
32; 0.38806; 0.306965; 0.223881
33; 0.358209; 0.302239; 0.248756
34; 0.353234; 0.308458; 0.233831
35; 0.373134; 0.302488; 0.253731
36; 0.378109; 0.295025; 0.223881
37; 0.368159; 0.3; 0.243781
38; 0.373134; 0.303731; 0.228856
39; 0.368159; 0.306219; 0.223881
40; 0.358209; 0.311443; 0.248756
41; 0.353234; 0.30398; 0.233831
42; 0.348259; 0.294776; 0.238806
43; 0.358209; 0.307463; 0.238806
44; 0.363184; 0.299502; 0.21393
45; 0.368159; 0.313682; 0.268657
46; 0.38806; 0.304478; 0.248756
47; 0.353234; 0.297512; 0.248756
48; 0.373134; 0.304975; 0.238806
49; 0.368159; 0.299254; 0.248756
50; 0.353234; 0.304726; 0.258706
51; 0.383085; 0.31393; 0.243781
52; 0.368159; 0.309453; 0.253731
53; 0.378109; 0.310448; 0.268657
54; 0.373134; 0.296766; 0.253731
55; 0.353234; 0.302488; 0.233831
56; 0.348259; 0.301741; 0.248756
57; 0.363184; 0.302488; 0.248756
58; 0.402985; 0.309453; 0.243781
59; 0.358209; 0.304478; 0.253731
60; 0.348259; 0.292786; 0.208955
61; 0.373134; 0.308955; 0.263682
62; 0.363184; 0.300498; 0.218905
63; 0.373134; 0.298507; 0.19403
64; 0.348259; 0.309204; 0.248756
65; 0.343284; 0.297264; 0.253731
66; 0.373134; 0.303731; 0.233831
67; 0.348259; 0.310448; 0.233831
68; 0.378109; 0.31194; 0.248756
69; 0.363184; 0.313184; 0.263682
70; 0.348259; 0.297264; 0.238806
71; 0.378109; 0.31592; 0.278607
72; 0.373134; 0.3199; 0.253731
73; 0.378109; 0.297015; 0.228856
74; 0.373134; 0.30199; 0.20398
75; 0.353234; 0.30398; 0.243781
76; 0.358209; 0.291045; 0.223881
77; 0.378109; 0.300249; 0.258706
78; 0.358209; 0.297761; 0.243781
79; 0.373134; 0.295274; 0.228856
80; 0.373134; 0.310199; 0.263682
81; 0.39801; 0.299254; 0.243781
82; 0.343284; 0.299751; 0.258706
83; 0.39801; 0.307463; 0.218905
84; 0.348259; 0.30796; 0.253731
85; 0.358209; 0.309453; 0.258706
86; 0.353234; 0.299005; 0.243781
87; 0.40796; 0.308209; 0.238806
88; 0.40796; 0.310448; 0.253731
89; 0.378109; 0.301741; 0.243781
90; 0.358209; 0.303483; 0.233831
91; 0.383085; 0.301741; 0.243781
92; 0.343284; 0.295522; 0.238806
93; 0.373134; 0.315423; 0.258706
94; 0.368159; 0.312687; 0.248756
95; 0.368159; 0.310448; 0.238806
96; 0.348259; 0.304726; 0.233831
97; 0.353234; 0.288557; 0.21393
98; 0.353234; 0.308706; 0.243781
99; 0.358209; 0.311692; 0.258706
100; 0.363184; 0.306468; 0.253731
101; 0.353234; 0.30398; 0.253731
102; 0.368159; 0.304478; 0.248756
103; 0.368159; 0.30398; 0.243781
104; 0.358209; 0.301244; 0.233831
105; 0.378109; 0.302488; 0.238806
106; 0.38806; 0.307463; 0.263682
107; 0.363184; 0.297015; 0.238806
108; 0.343284; 0.299502; 0.238806
109; 0.373134; 0.303234; 0.233831
110; 0.383085; 0.30597; 0.238806
111; 0.402985; 0.299502; 0.238806
112; 0.378109; 0.302488; 0.248756
113; 0.373134; 0.307711; 0.243781
114; 0.393035; 0.29801; 0.218905
115; 0.383085; 0.31592; 0.258706
116; 0.368159; 0.307711; 0.248756
117; 0.368159; 0.300249; 0.228856
118; 0.338308; 0.29801; 0.233831
119; 0.358209; 0.302488; 0.248756
120; 0.333333; 0.308209; 0.268657
121; 0.368159; 0.309204; 0.208955
122; 0.358209; 0.312935; 0.21393
123; 0.368159; 0.309204; 0.253731
124; 0.38806; 0.322388; 0.258706
125; 0.383085; 0.310945; 0.243781
126; 0.353234; 0.30199; 0.253731
127; 0.373134; 0.29602; 0.233831
128; 0.353234; 0.296766; 0.238806
129; 0.393035; 0.311692; 0.248756
130; 0.378109; 0.306219; 0.248756
131; 0.348259; 0.295771; 0.233831
132; 0.343284; 0.293781; 0.238806
133; 0.358209; 0.300498; 0.238806
134; 0.378109; 0.310199; 0.263682
135; 0.358209; 0.298756; 0.243781
136; 0.378109; 0.296766; 0.243781
137; 0.333333; 0.284328; 0.21393
138; 0.378109; 0.312687; 0.208955
139; 0.383085; 0.312935; 0.258706
140; 0.373134; 0.31393; 0.258706
141; 0.338308; 0.302985; 0.248756
142; 0.338308; 0.306219; 0.263682
143; 0.353234; 0.304229; 0.253731
144; 0.348259; 0.300746; 0.238806
145; 0.373134; 0.301244; 0.223881
146; 0.363184; 0.299254; 0.243781
147; 0.383085; 0.311194; 0.199005
148; 0.348259; 0.305224; 0.263682
149; 0.353234; 0.317164; 0.253731
