generation; best; average; worst
160; 0.358209; 0.305224; 0.253731
161; 0.373134; 0.296269; 0.238806
162; 0.363184; 0.304975; 0.208955
163; 0.402985; 0.308706; 0.238806
164; 0.373134; 0.307463; 0.243781
165; 0.358209; 0.302239; 0.243781
166; 0.363184; 0.311443; 0.238806
167; 0.358209; 0.299254; 0.223881
168; 0.373134; 0.303234; 0.248756
169; 0.368159; 0.303731; 0.218905
170; 0.383085; 0.309453; 0.238806
171; 0.378109; 0.303234; 0.228856
172; 0.368159; 0.305721; 0.228856
173; 0.373134; 0.292537; 0.228856
174; 0.363184; 0.308209; 0.248756
175; 0.422886; 0.294527; 0.208955
176; 0.383085; 0.314428; 0.243781
177; 0.363184; 0.302736; 0.263682
178; 0.348259; 0.30398; 0.268657
179; 0.358209; 0.302488; 0.228856
180; 0.348259; 0.299005; 0.238806
181; 0.373134; 0.307711; 0.218905
182; 0.402985; 0.30597; 0.248756
183; 0.358209; 0.311692; 0.253731
184; 0.363184; 0.29403; 0.223881
185; 0.383085; 0.297015; 0.228856
186; 0.383085; 0.314677; 0.268657
187; 0.38806; 0.308955; 0.243781
188; 0.368159; 0.297512; 0.218905
189; 0.338308; 0.3; 0.243781
190; 0.383085; 0.314925; 0.268657
191; 0.353234; 0.300746; 0.253731
192; 0.393035; 0.322886; 0.263682
193; 0.348259; 0.303483; 0.268657
194; 0.358209; 0.297512; 0.248756
195; 0.343284; 0.304229; 0.248756
196; 0.348259; 0.304726; 0.253731
197; 0.348259; 0.296269; 0.243781
198; 0.368159; 0.30995; 0.238806
199; 0.338308; 0.289801; 0.238806
200; 0.353234; 0.304975; 0.263682
201; 0.373134; 0.313184; 0.263682
202; 0.343284; 0.296269; 0.208955
203; 0.39801; 0.304975; 0.248756
204; 0.427861; 0.302736; 0.263682
205; 0.378109; 0.306965; 0.258706
206; 0.363184; 0.309453; 0.268657
207; 0.358209; 0.301244; 0.263682
208; 0.378109; 0.306219; 0.268657
209; 0.368159; 0.317164; 0.268657
210; 0.353234; 0.30398; 0.253731
211; 0.378109; 0.306965; 0.223881
212; 0.373134; 0.318159; 0.243781
213; 0.373134; 0.296517; 0.248756
214; 0.373134; 0.300746; 0.238806
215; 0.378109; 0.302488; 0.223881
216; 0.348259; 0.306965; 0.243781
217; 0.378109; 0.300995; 0.233831
218; 0.378109; 0.3; 0.243781
219; 0.378109; 0.314428; 0.253731
220; 0.383085; 0.306716; 0.238806
221; 0.338308; 0.294527; 0.233831
222; 0.38806; 0.312687; 0.258706
223; 0.363184; 0.312935; 0.268657
224; 0.338308; 0.295771; 0.228856
225; 0.373134; 0.31194; 0.258706
226; 0.378109; 0.315174; 0.248756
227; 0.393035; 0.321144; 0.278607
228; 0.363184; 0.306965; 0.243781
229; 0.368159; 0.308458; 0.228856
230; 0.353234; 0.298507; 0.233831
231; 0.353234; 0.298259; 0.233831
232; 0.338308; 0.297512; 0.248756
233; 0.358209; 0.300746; 0.253731
234; 0.363184; 0.3; 0.248756
235; 0.363184; 0.301493; 0.248756
236; 0.343284; 0.291045; 0.258706
237; 0.368159; 0.310199; 0.243781
238; 0.378109; 0.308955; 0.253731
239; 0.368159; 0.296517; 0.223881
240; 0.368159; 0.301741; 0.258706
241; 0.358209; 0.287811; 0.233831
242; 0.353234; 0.303234; 0.238806
243; 0.358209; 0.30597; 0.243781
244; 0.378109; 0.315174; 0.253731
245; 0.358209; 0.30597; 0.253731
246; 0.378109; 0.302488; 0.223881
