generation; best; average; worst
1; 0.373134; 0.301741; 0.238806
2; 0.363184; 0.314925; 0.258706
3; 0.383085; 0.311194; 0.253731
4; 0.343284; 0.283085; 0.228856
5; 0.348259; 0.303234; 0.258706
6; 0.368159; 0.304726; 0.253731
7; 0.343284; 0.300995; 0.268657
8; 0.353234; 0.300249; 0.238806
9; 0.368159; 0.313682; 0.228856
10; 0.368159; 0.304229; 0.218905
11; 0.383085; 0.308458; 0.253731
12; 0.348259; 0.299502; 0.248756
13; 0.348259; 0.304229; 0.243781
14; 0.368159; 0.311443; 0.238806
15; 0.353234; 0.310697; 0.263682
16; 0.343284; 0.306219; 0.268657
17; 0.348259; 0.300746; 0.218905
18; 0.393035; 0.309204; 0.238806
19; 0.368159; 0.301741; 0.258706
20; 0.338308; 0.291791; 0.223881
21; 0.358209; 0.302488; 0.223881
22; 0.343284; 0.301741; 0.258706
23; 0.358209; 0.297264; 0.238806
24; 0.373134; 0.314428; 0.243781
25; 0.343284; 0.310199; 0.258706
26; 0.38806; 0.296766; 0.243781
27; 0.383085; 0.291294; 0.248756
28; 0.38806; 0.311443; 0.248756
29; 0.348259; 0.312189; 0.278607
30; 0.353234; 0.301244; 0.248756
31; 0.353234; 0.301741; 0.253731
32; 0.39801; 0.300498; 0.248756
33; 0.383085; 0.316915; 0.263682
34; 0.368159; 0.304975; 0.248756
35; 0.378109; 0.304229; 0.228856
36; 0.363184; 0.30995; 0.223881
37; 0.368159; 0.312189; 0.253731
38; 0.38806; 0.307214; 0.263682
39; 0.363184; 0.310199; 0.238806
40; 0.412935; 0.31393; 0.253731
41; 0.363184; 0.302736; 0.248756
42; 0.353234; 0.304975; 0.258706
43; 0.353234; 0.309204; 0.263682
44; 0.378109; 0.303234; 0.238806
45; 0.343284; 0.298756; 0.253731
46; 0.38806; 0.311194; 0.258706
47; 0.338308; 0.302239; 0.248756
48; 0.383085; 0.318159; 0.243781
49; 0.368159; 0.307214; 0.258706
50; 0.353234; 0.289303; 0.208955
51; 0.348259; 0.305473; 0.233831
52; 0.41791; 0.320398; 0.258706
53; 0.378109; 0.310448; 0.258706
54; 0.338308; 0.294776; 0.253731
55; 0.373134; 0.309701; 0.263682
56; 0.338308; 0.303483; 0.243781
57; 0.363184; 0.300746; 0.238806
58; 0.353234; 0.308706; 0.248756
59; 0.353234; 0.305224; 0.258706
60; 0.363184; 0.30796; 0.243781
61; 0.383085; 0.295274; 0.258706
62; 0.348259; 0.311443; 0.278607
63; 0.39801; 0.31592; 0.268657
64; 0.383085; 0.308955; 0.243781
65; 0.353234; 0.306716; 0.248756
66; 0.378109; 0.30796; 0.253731
67; 0.437811; 0.326368; 0.243781
68; 0.353234; 0.312935; 0.253731
69; 0.353234; 0.303731; 0.263682
70; 0.383085; 0.300995; 0.243781
71; 0.383085; 0.306965; 0.263682
72; 0.39801; 0.313433; 0.268657
73; 0.348259; 0.300498; 0.263682
74; 0.373134; 0.30995; 0.248756
75; 0.373134; 0.314925; 0.248756
76; 0.353234; 0.297015; 0.218905
77; 0.358209; 0.305224; 0.253731
78; 0.363184; 0.298259; 0.238806
79; 0.353234; 0.298507; 0.223881
80; 0.363184; 0.30398; 0.253731
81; 0.363184; 0.310199; 0.253731
82; 0.363184; 0.312189; 0.253731
83; 0.378109; 0.30398; 0.243781
