generation; best; average; worst
160; 0.255744; 0.224476; 0.198801
161; 0.247752; 0.228272; 0.210789
162; 0.238761; 0.224476; 0.212787
163; 0.246753; 0.228971; 0.211788
164; 0.255744; 0.231568; 0.207792
165; 0.263736; 0.232867; 0.204795
166; 0.248751; 0.221878; 0.194805
167; 0.26973; 0.237662; 0.220779
168; 0.252747; 0.229171; 0.203796
169; 0.257742; 0.231768; 0.1998
170; 0.254745; 0.236763; 0.216783
171; 0.256743; 0.237662; 0.21978
172; 0.25974; 0.234565; 0.21978
173; 0.236763; 0.226274; 0.20979
174; 0.24975; 0.227872; 0.20979
175; 0.252747; 0.236364; 0.215784
176; 0.265734; 0.238162; 0.211788
177; 0.258741; 0.229271; 0.213786
178; 0.258741; 0.24036; 0.228771
179; 0.251748; 0.234965; 0.224775
180; 0.244755; 0.234066; 0.220779
181; 0.250749; 0.233167; 0.216783
182; 0.247752; 0.232567; 0.221778
183; 0.260739; 0.226274; 0.212787
184; 0.256743; 0.226873; 0.214785
185; 0.247752; 0.225674; 0.196803
186; 0.248751; 0.22987; 0.205794
187; 0.260739; 0.238661; 0.222777
188; 0.251748; 0.238861; 0.218781
189; 0.237762; 0.217483; 0.201798
190; 0.254745; 0.225874; 0.197802
191; 0.244755; 0.233167; 0.215784
192; 0.275724; 0.248452; 0.21978
193; 0.271728; 0.232767; 0.202797
194; 0.247752; 0.228472; 0.187812
195; 0.237762; 0.221578; 0.194805
196; 0.243756; 0.222577; 0.207792
197; 0.268731; 0.229171; 0.214785
198; 0.258741; 0.234665; 0.213786
199; 0.247752; 0.230869; 0.216783
200; 0.268731; 0.234565; 0.210789
201; 0.248751; 0.231668; 0.210789
202; 0.250749; 0.23047; 0.20979
203; 0.251748; 0.229071; 0.1998
204; 0.26973; 0.22967; 0.210789
205; 0.250749; 0.225974; 0.197802
206; 0.252747; 0.23027; 0.201798
207; 0.271728; 0.235664; 0.214785
208; 0.247752; 0.228671; 0.210789
209; 0.255744; 0.237662; 0.207792
210; 0.241758; 0.226573; 0.204795
211; 0.267732; 0.23047; 0.201798
212; 0.248751; 0.227073; 0.195804
213; 0.276723; 0.233467; 0.207792
214; 0.280719; 0.24046; 0.220779
215; 0.250749; 0.234965; 0.200799
216; 0.247752; 0.233067; 0.207792
217; 0.24975; 0.22997; 0.211788
218; 0.243756; 0.23017; 0.211788
219; 0.258741; 0.23007; 0.21978
220; 0.264735; 0.241758; 0.220779
221; 0.257742; 0.234865; 0.216783
222; 0.267732; 0.236364; 0.201798
223; 0.24975; 0.228272; 0.198801
224; 0.262737; 0.24016; 0.20979
225; 0.265734; 0.240959; 0.227772
226; 0.257742; 0.236064; 0.211788
227; 0.254745; 0.235964; 0.21978
228; 0.237762; 0.227273; 0.204795
229; 0.254745; 0.238462; 0.218781
230; 0.243756; 0.21988; 0.196803
231; 0.24975; 0.230669; 0.206793
232; 0.23976; 0.227872; 0.196803
233; 0.266733; 0.233267; 0.1998
234; 0.265734; 0.243556; 0.218781
235; 0.267732; 0.242957; 0.214785
236; 0.272727; 0.243756; 0.215784
237; 0.24975; 0.234166; 0.205794
238; 0.254745; 0.23027; 0.211788
239; 0.254745; 0.232567; 0.214785
240; 0.268731; 0.23986; 0.226773
241; 0.265734; 0.243157; 0.21978
242; 0.276723; 0.244356; 0.221778
243; 0.281718; 0.253746; 0.234765
244; 0.260739; 0.244955; 0.226773
245; 0.276723; 0.245554; 0.226773
246; 0.263736; 0.239361; 0.220779
247; 0.277722; 0.241858; 0.218781
248; 0.246753; 0.235764; 0.223776
249; 0.248751; 0.231668; 0.215784
250; 0.256743; 0.241259; 0.220779
251; 0.261738; 0.246454; 0.231768
252; 0.264735; 0.235465; 0.194805
253; 0.252747; 0.234066; 0.212787
254; 0.252747; 0.235265; 0.202797
255; 0.248751; 0.227373; 0.203796
256; 0.244755; 0.230869; 0.223776
257; 0.245754; 0.226773; 0.204795
258; 0.247752; 0.232368; 0.214785
259; 0.265734; 0.227173; 0.20979
260; 0.263736; 0.234466; 0.208791
261; 0.246753; 0.228571; 0.198801
262; 0.265734; 0.244056; 0.215784
263; 0.250749; 0.225774; 0.196803
264; 0.254745; 0.236963; 0.213786
265; 0.253746; 0.229171; 0.211788
266; 0.254745; 0.231069; 0.1998
267; 0.255744; 0.231568; 0.198801
268; 0.250749; 0.238761; 0.222777
269; 0.272727; 0.238561; 0.200799
270; 0.25974; 0.246254; 0.22977
271; 0.251748; 0.236264; 0.216783
272; 0.285714; 0.230769; 0.197802
273; 0.256743; 0.231968; 0.211788
274; 0.261738; 0.232368; 0.218781
275; 0.251748; 0.234665; 0.221778
276; 0.262737; 0.236663; 0.217782
277; 0.266733; 0.236663; 0.201798
278; 0.245754; 0.233367; 0.20979
279; 0.24975; 0.225874; 0.207792
280; 0.25974; 0.232567; 0.213786
281; 0.241758; 0.225774; 0.203796
282; 0.258741; 0.233666; 0.206793
283; 0.252747; 0.232867; 0.193806
284; 0.241758; 0.227373; 0.214785
285; 0.243756; 0.224575; 0.200799
286; 0.244755; 0.223576; 0.201798
287; 0.251748; 0.225874; 0.200799
288; 0.271728; 0.232168; 0.211788
289; 0.284715; 0.241558; 0.220779
290; 0.257742; 0.237762; 0.21978
291; 0.238761; 0.217283; 0.197802
292; 0.25974; 0.231868; 0.203796
293; 0.254745; 0.234665; 0.222777
294; 0.256743; 0.236464; 0.216783
295; 0.243756; 0.216683; 0.177822
296; 0.241758; 0.221578; 0.193806
297; 0.245754; 0.227772; 0.208791
298; 0.238761; 0.223676; 0.207792
299; 0.247752; 0.229171; 0.211788
300; 0.245754; 0.228172; 0.202797
301; 0.243756; 0.223676; 0.210789
302; 0.255744; 0.223077; 0.174825
303; 0.25974; 0.230869; 0.201798
304; 0.240759; 0.228272; 0.212787
305; 0.253746; 0.225974; 0.205794
306; 0.260739; 0.227073; 0.202797
307; 0.244755; 0.225774; 0.205794
308; 0.255744; 0.233866; 0.211788
309; 0.258741; 0.238062; 0.208791
310; 0.25974; 0.234565; 0.217782
311; 0.258741; 0.232368; 0.205794
312; 0.26973; 0.236863; 0.204795
313; 0.266733; 0.248551; 0.233766
314; 0.267732; 0.244156; 0.221778
315; 0.267732; 0.253646; 0.237762
316; 0.250749; 0.236064; 0.207792
317; 0.266733; 0.240559; 0.224775
318; 0.275724; 0.253047; 0.221778
319; 0.263736; 0.241958; 0.214785
320; 0.280719; 0.247552; 0.21978
321; 0.276723; 0.257343; 0.243756
322; 0.287712; 0.263736; 0.237762
323; 0.27972; 0.253846; 0.236763
324; 0.294705; 0.262138; 0.230769
325; 0.287712; 0.255544; 0.208791
326; 0.286713; 0.255544; 0.230769
327; 0.284715; 0.268432; 0.245754
328; 0.284715; 0.268531; 0.260739
329; 0.285714; 0.265135; 0.244755
330; 0.291708; 0.27003; 0.248751
331; 0.281718; 0.262038; 0.234765
332; 0.288711; 0.261439; 0.240759
333; 0.301698; 0.263836; 0.23976
334; 0.282717; 0.261538; 0.243756
335; 0.295704; 0.263037; 0.237762
336; 0.290709; 0.262438; 0.240759
337; 0.290709; 0.269231; 0.24975
338; 0.286713; 0.261838; 0.242757
339; 0.271728; 0.262238; 0.23976
340; 0.298701; 0.26953; 0.24975
341; 0.293706; 0.266933; 0.250749
342; 0.28971; 0.265934; 0.236763
343; 0.288711; 0.268531; 0.221778
344; 0.283716; 0.25954; 0.22977
345; 0.276723; 0.26034; 0.234765
346; 0.296703; 0.25964; 0.238761
347; 0.297702; 0.259041; 0.224775
348; 0.285714; 0.260739; 0.246753
349; 0.27972; 0.263636; 0.244755
350; 0.272727; 0.255045; 0.238761
351; 0.27972; 0.256444; 0.228771
352; 0.281718; 0.258841; 0.228771
353; 0.277722; 0.265934; 0.242757
